id,sin_type,trigger,response
1,Ogre,event_1,"A sudden collapse of distant scaffolding. Dust pours down nearby buildings like fog. An old woman walks past the exorcists muttering, “He’s still down there…”—but no one remembers seeing her before."
2,Ogre,event_2,Lights in the entire sector flicker then fail. Phones gain a contact labeled “Father” with no call history. If answered: just wet breathing. Spiral architecture subtly warps—rooms feel shorter; hallways stretch into yawns.
3,Ogre,event_3,"A delivery man screams and flees the scene after glimpsing an exorcist’s shadow. “It’s inside your shape,” he says. Later, a PC discovers one of their psyche burst effects went off… but they didn't trigger it."
4,Ogre,enter_palace,All staircases descend. Elevators only go down. NPCs grow increasingly reluctant to speak—even ones who helped earlier. One exorcist sees a bruised child in their path wearing their own childhood face.
5,Ogre,palace_pressure,“You don’t need help. You need to give up.” Graffiti appears in a location the exorcists visited earlier. Surveillance shows it was never there before. Local water turns white and tastes of copper.
6,Toad,event_1,A storefront vanishes. Not destroyed—just gone. The building is now a blank wall. A nearby gangster pays one of the exorcists to “find out who’s stealing the street.” They’re carrying designer clothes made of paper.
7,Toad,event_2,"Every NPC has a new item: gold cufflinks, diamond earrings, Rolex. One bystander now rides a car swallowed whole by Gildrem previously. They insist it’s always been theirs. They wink at the exorcists and say, “You’ll get yours soon.”"
8,Toad,event_3,"A random PC finds a glowing gemstone in their pocket. It whispers, “Don’t tell the others.” Later, a local news report claims the PCs are part of a heist gang stealing from the city. A wanted poster appears—in the host’s name."
9,Toad,enter_palace,"One ally or contact offers a bribe to abandon the hunt. A wall of jewelry appears across the street and disappears seconds later. Any cash carried by the exorcists becomes counterfeit—except for one note, which reads “You’re worth this.”"
10,Toad,palace_pressure,A local celebrity goes missing. Their social media floods with praise for Gildrem’s “art exhibit.” That location turns out to be a sealed gallery guarded by Toadspawn. One NPC tries to sell you something that belonged to someone you failed to save.
11,Hound,event_1,"A popular broadcast glitches. For 6 seconds, all screens show Vanshara’s palace. One NPC claims to recognize it from childhood. Cultists begin handing out flyers titled “Rehearsal Notice” with a blank time and location."
12,Hound,event_2,"An exorcist hears their name whispered in a crowd repeatedly. A child follows them holding a drawing titled “You, in the Show.” That child’s parent insists they never brought anyone. A group of NPCs begin dressing like the exorcists."
13,Hound,event_3,"Two NPCs loudly argue over which exorcist “performed better.” They try to vote on who should lead next. One exorcist gains a fan club without explanation. A cultist offers an autograph of someone they’ve never met, with your signature."
14,Hound,enter_palace,"Vanshara appears on every active screen for a single beat, winks, and says “You’re late to your call.” One exorcist experiences a flashing image of themselves on stage, but crowned. They begin receiving psychic “applause.”"
15,Hound,palace_pressure,"All NPCs seem aware of the hunt but refer to it as “the season finale.” One exorcist sees a mirror that shows their worst memory re-enacted with applause. A cultist begins narrating your movements aloud, as if you’re a character in their show."
16,Centipede,event_1,"A city worker screams, pulls off their jacket, and flees down a tunnel. You find it later—folded neatly and placed upright in the middle of a street. Inside is a photo of someone the exorcists couldn’t save last loop."
17,Centipede,event_2,Security footage shows an NPC entering a shop. They never come out. The shop is now boarded up. A survivor NPC starts coughing acid. The exorcists watch a billboard glitch to display the word: WRONG.
18,Centipede,event_3,"Bystanders collapse in the middle of a sidewalk, twitching. One exorcist smells a memory—like antiseptic and sorrow. A body emerges from a sewer dressed like the exorcist but with the face reversed."
